"Customer ID",Name,Email,Phone,"Credit Limit"
1,"Tarik James Amdad",bigdaddytharrik23@gmail.com,09278770923,10000.00
2,"James bond",amdadmaui@gmail.com,09554615288,10000.00
3,"Asado Shoopaw",bigdaddytharrik23@gmail.com,09087274509,10000.00
4,"Big papa",,0931231334,10000.00
5,Midorima,,0908712131,10000.00
7,"Walk-in Customer",,N/A,10000.00
8,"Mark Jhon",,098213232424,10000.00
9,Tharrik,jeepamdad@gmail.com,09554615288,10000.00
10,"anoc store",,09087274569,0.00
11,Tarikoy,bigdaddy@gmail.com,090872745623,10000.00
